Dataset,Model,F1_mean,F1_std,AUC_mean,AUC_std,Recall_mean,Recall_std,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std
PIDD,RF,0.6552,0.0624,0.8235,0.0422,0.6788,0.0767,0.7512,0.0439,0.6372,0.0693
PIDD,XGB,0.6412,0.083,0.8026,0.0449,0.6632,0.1102,0.7446,0.0484,0.6252,0.069
PIDD,KNN,0.6613,0.057,0.8097,0.0574,0.7907,0.0848,0.7174,0.0488,0.5714,0.0597
PIDD,SVE,0.6762,0.0707,0.8234,0.0474,0.7271,0.0952,0.759,0.0452,0.6353,0.0642
DPD,RF,0.7522,0.0127,0.9665,0.003,0.7496,0.0136,0.958,0.0022,0.7548,0.015
DPD,XGB,0.8004,0.0118,0.9775,0.0021,0.7078,0.0149,0.97,0.0017,0.9213,0.0131
DPD,KNN,0.6053,0.0095,0.938,0.0052,0.8352,0.0088,0.9074,0.0038,0.4748,0.0123
DPD,SVE,0.7464,0.0116,0.9722,0.0022,0.7765,0.0142,0.9551,0.0021,0.7187,0.0139
Early,RF,0.9875,0.0136,0.9992,0.0013,0.9875,0.0207,0.9846,0.0168,0.988,0.0198
Early,XGB,0.9811,0.0094,0.9969,0.0043,0.975,0.0187,0.9769,0.0115,0.988,0.0198
Early,KNN,0.9492,0.0496,0.9906,0.0123,0.9125,0.0813,0.9423,0.0516,0.9935,0.0194
Early,SVE,0.9762,0.0149,0.9989,0.002,0.9656,0.0295,0.9712,0.0177,0.9879,0.0199
